"Affy_id"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"diffexpressed"	"diffexpressed2"	"Gene.Symbol"	"Symbol"
"1552266_at"	0.0904552607907823	3.624240625772	0.577717395771671	0.576821762134313	0.820875053878935	-7.38784231064606	"NO"	"NO"	"ADAM32"	"ADAM32"
"1552280_at"	-0.0232275555864812	3.69382382076073	-0.179943424032953	0.860957794486757	0.95162065688682	-7.55075761215272	"NO"	"NO"	"TIMD4"	"TIMD4"
"1552296_at"	-0.158642123197332	2.81542387635325	-1.36792237243794	0.202660658305282	0.512368052013377	-6.62740455393728	"NO"	"NO"	"BEST4"	"BEST4"
"1552301_a_at"	0.325766267990951	4.60329401914159	2.84020193975023	0.0183214901321464	0.113074553897179	-4.35029675313145	"NO"	"NO"	"CORO6"	"CORO6"
"1552311_a_at"	-0.0888623793580106	6.02337629585553	-0.710603595439306	0.494318302187585	0.773148094622165	-7.29750137859398	"NO"	"NO"	"RAX2"	"RAX2"
"1552335_at"	0.0264780153507127	5.6633830217257	0.280346877161265	0.785190411426985	0.921419944254507	-7.52544464564221	"NO"	"NO"	"CATSPER1"	"CATSPER1"
"1552337_s_at"	0.082292778543358	3.92457959369856	0.47716382756392	0.643977113360031	0.856823514295859	-7.44460640724425	"NO"	"NO"	"HOXD4"	"HOXD4"
"1552338_at"	-0.00771707566115687	4.2397797457905	-0.0590985709535881	0.954091951065143	0.985434816088988	-7.56664198583183	"NO"	"NO"	"GSC"	"GSC"
"1552340_at"	-0.129838851674977	3.97820406813233	-1.09295354139376	0.301217885839257	0.62149086499249	-6.94859200044258	"NO"	"NO"	"SP7"	"SP7"
"1552362_a_at"	-0.392902812473756	4.86061859330626	-2.83443657098169	0.018499654123691	0.113819085116651	-4.36005484605897	"NO"	"NO"	"LEAP2"	"LEAP2"
"1552368_at"	0.160053637595996	2.78720156028771	1.01468485767581	0.335274054801691	0.653748605722083	-7.02996958634436	"NO"	"NO"	"CTCFL"	"CTCFL"
"1552377_s_at"	-0.137541868866858	6.83899291036548	-1.291802131929	0.226813010518914	0.54162304988302	-6.72145843280931	"NO"	"NO"	"TVP23C"	"TVP23C"
"1552386_at"	-0.0514779298063153	2.66935239051649	-0.437696736228331	0.671339343183636	0.870310636494703	-7.46406984441527	"NO"	"NO"	"GAPT"	"GAPT"
"1552388_at"	-0.105785799483245	5.42094564591042	-0.692614537748318	0.505044716635024	0.779445212706929	-7.3107242968808	"NO"	"NO"	"FLJ30901 /// SCUBE1"	"FLJ30901"
"1552391_at"	-0.0588033737401346	3.72985995223308	-0.617050437648804	0.551628441742888	0.807851473809532	-7.36288871452015	"NO"	"NO"	"CCDC185"	"CCDC185"
"1552395_at"	0.109435894405703	6.43201112620503	0.967285544659256	0.35725929822307	0.672501059838087	-7.07688385480838	"NO"	"NO"	"TSSK3"	"TSSK3"
"1552396_at"	0.148339766091341	3.65255285353269	1.30143096664566	0.223631138962331	0.537759270034104	-6.70976686976052	"NO"	"NO"	"WFDC6"	"WFDC6"
"1552400_a_at"	0.032735555514579	4.10896327804766	0.307086979012233	0.765368773931662	0.912811242713502	-7.5168686906044	"NO"	"NO"	"C15orf27"	"C15orf27"
