"Affy_id"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"diffexpressed"	"diffexpressed2"	"Gene.Symbol"	"Symbol"
"1552257_a_at"	-0.0233333333333352	8.14833333333333	-0.178182752215437	0.862421695772607	0.963090404746072	-6.88950192851226	"NO"	"NO"	"TTLL12"	"TTLL12"
"1552258_at"	0.236666666666666	3.49833333333333	2.08412683605884	0.0659945853673866	0.327516924295349	-4.95750249731442	"NO"	"NO"	"LINC00152 /// LOC101930489"	"LINC00152"
"1552266_at"	-0.0666666666666673	2.85	-0.741453205226899	0.476824734533526	0.808133675158728	-6.61399047601175	"NO"	"NO"	"ADAM32"	"ADAM32"
"1552269_at"	0.0166666666666666	2.87166666666667	0.170933573715086	0.867957619113931	0.964716147145825	-6.89088578938696	"NO"	"NO"	"SPATA17"	"SPATA17"
"1552276_a_at"	0.179999999999997	5.34333333333333	1.5350126032898	0.158253107946912	0.513709463088269	-5.75672180818635	"NO"	"NO"	"VPS18"	"VPS18"
"1552280_at"	0.106666666666666	3.38666666666667	0.959378427868002	0.361777697917885	0.733441938286936	-6.42573822555724	"NO"	"NO"	"TIMD4"	"TIMD4"
"1552281_at"	0.129999999999999	6.605	1.25852244035845	0.239045590217212	0.619833901409754	-6.10546505140134	"NO"	"NO"	"SLC39A5"	"SLC39A5"
"1552283_s_at"	-0.15	3.21166666666667	-1.20896224530674	0.256678219312468	0.639062330516261	-6.16297849276398	"NO"	"NO"	"ZDHHC11 /// ZDHHC11B"	"ZDHHC11"
"1552293_at"	0.130000000000001	3.775	1.29955847233332	0.225211594007278	0.604162892024332	-6.0566166834405	"NO"	"NO"	"TMEM196"	"TMEM196"
"1552295_a_at"	-0.0800000000000001	6.65	-0.767252194508288	0.462069704886791	0.799179460796067	-6.59388652625173	"NO"	"NO"	"SLC39A13"	"SLC39A13"
"1552296_at"	-0.0600000000000009	2.86666666666667	-0.600373168586438	0.562679507150088	0.850729559459131	-6.71293228943418	"NO"	"NO"	"BEST4"	"BEST4"
"1552301_a_at"	0.380000000000001	3.95	3.74775835614764	0.00435586401199561	0.0632057059015211	-2.24931822078156	"NO"	"NO"	"CORO6"	"CORO6"
"1552307_a_at"	-0.423333333333335	4.89833333333333	-2.82420207290869	0.0193996241250654	0.161221226483957	-3.76346840314064	"NO"	"NO"	"TTC39C"	"TTC39C"
"1552309_a_at"	0.353333333333334	2.97666666666667	1.7210486598899	0.118446088006508	0.4475494030239	-5.49928146267274	"NO"	"NO"	"NEXN"	"NEXN"
"1552310_at"	0.153333333333333	6.19333333333333	1.22179573106953	0.252013647793837	0.63403488832726	-6.14824433783925	"NO"	"NO"	"C15orf40"	"C15orf40"
"1552311_a_at"	-0.0800000000000027	5.50666666666667	-0.705942101225205	0.497621297233844	0.818564427049196	-6.64066208951212	"NO"	"NO"	"RAX2"	"RAX2"
"1552330_at"	-0.240000000000001	5.95333333333333	-1.20383379438765	0.258561734251815	0.640974821691117	-6.16883499731081	"NO"	"NO"	"CENPBD1"	"CENPBD1"
"1552335_at"	0.0433333333333334	3.91166666666667	0.426976945271253	0.67916485827717	0.899602620823945	-6.80785314477789	"NO"	"NO"	"CATSPER1"	"CATSPER1"
"1552337_s_at"	0.19	3.605	1.17419558938769	0.269666725692311	0.65134690752961	-6.20232426151069	"NO"	"NO"	"HOXD4"	"HOXD4"
"1552338_at"	0.203333333333334	3.615	2.09121192722382	0.0652337249379901	0.325337388661848	-4.94652222095056	"NO"	"NO"	"GSC"	"GSC"
"1552340_at"	0.116666666666666	3.56166666666667	1.05799341181673	0.316910246895101	0.695391409438923	-6.32753719281181	"NO"	"NO"	"SP7"	"SP7"
"1552343_s_at"	0.0466666666666669	3.25	0.483652329981127	0.639878959054833	0.88434018569609	-6.78016760631577	"NO"	"NO"	"PDE7A"	"PDE7A"
"1552344_s_at"	0.180000000000001	5.68	1.22971973050797	0.249168140471296	0.63036181660757	-6.13909093839439	"NO"	"NO"	"CNOT7"	"CNOT7"
"1552362_a_at"	0.126666666666666	3.73666666666667	1.30008134311202	0.225039714933831	0.604000570644517	-6.05598727311052	"NO"	"NO"	"LEAP2"	"LEAP2"
"1552364_s_at"	-0.373333333333335	4.94666666666667	-2.91793210445159	0.0166174068341368	0.146754436869073	-3.60870980059902	"NO"	"NO"	"MSI2"	"MSI2"
"1552368_at"	-0.166666666666667	2.53666666666667	-1.31723083861204	0.219462723597713	0.597530423311729	-6.03524740425052	"NO"	"NO"	"CTCFL"	"CTCFL"
"1552377_s_at"	0.0233333333333317	5.475	0.228898279201561	0.823929910854243	0.950747347254824	-6.87822714899675	"NO"	"NO"	"TVP23C"	"TVP23C"
"1552381_at"	-0.1	2.94	-0.898021853584833	0.391953858155425	0.755747443640761	-6.48287098299115	"NO"	"NO"	"SRSF12"	"SRSF12"
