"Gene_id"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"Symbol"
"GI_10047089-S"	-0.0156708185256411	7.2885710969356	-1.11236003529609	0.275552520056081	0.464705080911696	-5.90047943314371	"SMPX"
"GI_10047091-S"	-0.0170569729575272	7.66718321104667	-0.283288188325785	0.779064202198504	0.875315075675511	-6.47316153572104	"NP25"
"GI_10047093-S"	-0.016267359463801	7.6890002871054	-0.406658870069328	0.687386266890562	0.815779208803311	-6.43020919453721	"HSP70-4"
"GI_10047099-S"	-0.0238889219310412	7.48696684947105	-0.756461564393939	0.455763954883502	0.636758437862434	-6.2267369867625	"LOC51186"
"GI_10047103-S"	0.111572912384696	8.60187945841343	2.98852054657958	0.00582015860525008	0.0323395260488844	-2.60308527330499	"SS18L2"
"GI_10047105-S"	-0.0212712775472115	7.3267654837921	-0.844011452213212	0.405899474399582	0.592855691467399	-6.15735492256705	"CPA4"
"GI_10047121-S"	0.00630617415200607	7.3126778428924	0.33111454923796	0.743051982290447	0.850612973828119	-6.45831844699364	"MCFP"
"GI_10047123-S"	0.0195302395072821	7.63696204240994	0.59286218460742	0.558087135717113	0.721773021606557	-6.3367589658551	"LOC55974"
"GI_10092578-S"	0.00148039593436167	7.28475905087998	0.0998872001334912	0.921153924251986	0.959118540882124	-6.50872467409292	"ITIH3"
"GI_10092585-S"	-0.0153409900676573	7.48103129812126	-0.767638272459944	0.44920212728828	0.631413402284356	-6.21828351010326	"ZNF236"
"GI_10092596-S"	0.794381023040735	7.97415515464825	4.00113708740802	0.000425891755710414	0.00521214463244795	-0.146948266225029	"MCOLN1"
"GI_10092600-S"	0.228786255274926	7.96613261838357	5.36615555922953	1.05697611647202e-05	0.000475530862343685	3.39376692057867	"EIF4G3"
"GI_10092602-S"	0.00401126128417406	7.30599528146111	0.348914733859947	0.729793921639488	0.842501003394392	-6.45220868085462	"PRG3"
"GI_10092603-S"	0.0477638583429334	7.32870369606629	2.95101042485923	0.00638221750342307	0.0344210846018628	-2.68814296487044	"C10orf1"
"GI_10092611-A"	0.0591370580631247	7.58149157465884	1.25535100134776	0.219847537469193	0.402508414338048	-5.73733960066848	"CKLF"
"GI_10092616-S"	0.0308110911525024	7.34413389533938	1.39657136069176	0.173642731708798	0.344849962328637	-5.55911417837912	"PCBP3"
"GI_10092618-S"	0.832301220046814	9.29297861357387	7.44141838132567	4.50667291801185e-08	2.15206886755413e-05	8.63680751548468	"NFKBIA"
"GI_10092638-S"	-0.0585828196569054	7.4078245005518	-3.26297378047731	0.00292882556791694	0.0198469855836912	-1.96536091883978	"CRIM1"
"GI_10092658-S"	-0.0404913302465264	7.32056184400363	-3.35747304388899	0.00230171970606167	0.0168134618240629	-1.74010683263674	"FLJ12886"
"GI_10092668-S"	0.0100175470640478	7.30275409735978	0.562161238335741	0.578531210937205	0.73767272833323	-6.35451504218542	"OR2S2"
"GI_10092672-S"	-0.12046387796333	7.6424543365272	-4.82649781106386	4.57993689037094e-05	0.00114517231035004	1.98459579475194	"LOC57019"
"GI_10092690-S"	0.0296027609899827	9.3669792324319	0.299770689832482	0.766591983545546	0.866699835999639	-6.46830532756587	"TJP3"
"GI_10190657-S"	0.00498206913631893	7.32050001658519	0.345952336418226	0.731994623582686	0.843871148589819	-6.45324749374218	"HSA404617"
"GI_10190669-S"	0.040557082645063	7.34054603447928	2.47998626284	0.0194999041905004	0.0770254065128261	-3.7050207866842	"GDF3"
"GI_10190671-S"	0.0172428836588647	7.32602161272676	1.32985738721299	0.194421971966503	0.370961509344424	-5.64538560209268	"FGF22"
"GI_10190679-S"	0.0244015210349975	7.39371619230431	1.13379902213342	0.266604727716628	0.454907275191673	-5.87715638237081	"ASCL3"
"GI_10190681-S"	0.0388399615020738	7.34530614024349	2.53914293717514	0.017024858446076	0.0699432190613588	-3.58301493138943	"CBX8"
"GI_10190685-S"	0.00274184149818257	7.34202185601771	0.164164478085442	0.870794713759794	0.93072446962224	-6.50012714355951	"ZNF286"
"GI_10190687-S"	-0.0256399959093212	7.32162707282823	-1.5124072926252	0.141766340215126	0.302189893943519	-5.40071329444454	"ZNF287"
"GI_10190695-S"	0.0250746746938395	7.36962599777513	0.648322668390734	0.522119384315866	0.692689191350907	-6.30235572978939	"ZNF304"
"GI_10190697-S"	-0.00660981189969601	7.29336507328649	-0.686623713183119	0.49803287800852	0.672679979536326	-6.27685774127684	"CX36"
"GI_10190699-S"	0.0397512112969665	7.33472018027566	2.75158226986142	0.0103405268858607	0.0490807234025045	-3.1308382039987	"AICDA"
"GI_10190701-S"	-0.0741402022222815	7.61707050924795	-2.11813169960311	0.0432802926876956	0.133535321080961	-4.40971503722964	"MRS2L"
"GI_10190705-S"	-0.285970346382181	7.90118697054639	-5.36387045785296	1.06354359448245e-05	0.000475530862343685	3.38780792935547	"CLK4"
"GI_10190709-S"	0.00145210421796271	7.31567127292895	0.0986438587967177	0.922132043191714	0.95964279421772	-6.50884975300088	"LOC57399"
"GI_10190711-S"	0.133059288640254	8.07390427661082	1.19211624980914	0.243337446021947	0.429567763328718	-5.81167407104536	"S100A14"
"GI_10190741-S"	0.0324087156197743	7.32571401637179	1.57307416466139	0.127065224678954	0.280201601035065	-5.31350591558222	"USP29"
"GI_10190743-S"	-0.0754590801540393	7.43677798165106	-1.96964547537079	0.0589623061020711	0.165913288902837	-4.67613676593816	"PLEKHA4"
"GI_10190745-S"	-0.0503733941628299	7.78345931947441	-1.16167952180134	0.255286548448099	0.44232122622255	-5.84622105404682	"RDH14"
