Id	Description	Map id	Map name	Symbol	Abbreviation	Synonyms	References	Elements	Reaction external id	Mechanical Confidence Score	Lower Bound	Upper Bound	Gene Protein Reaction	Subsystem	Reaction type
619555		16167	CFTR_network_edit				PUBMED:16954204,PUBMED:17360537	REACTANT:1496128,PRODUCT:1496189	e232__e232_r						Positive influence
619556		16167	CFTR_network_edit				PUBMED:26618866	REACTANT:1496207,PRODUCT:1496291	e14__e14_r						Positive influence
619557		16167	CFTR_network_edit				PUBMED:23636454	REACTANT:1496101,PRODUCT:1496099	e139__e139_r						Positive influence
619558		16167	CFTR_network_edit				PUBMED:27206858,PUBMED:32573649	REACTANT:1495959,PRODUCT:1496242	e251__e251_r						Positive influence
619559		16167	CFTR_network_edit				PUBMED:11384996,PUBMED:20130090,PUBMED:23818989	REACTANT:1496206,PRODUCT:1496285	e233__e233_r						Positive influence
619560		16167	CFTR_network_edit				PUBMED:26618866,PUBMED:18255040	REACTANT:1496186,PRODUCT:1496071	e221__e221_r						Positive influence
619561		16167	CFTR_network_edit					REACTANT:1496186,PRODUCT:1496098	e228__e228_r						Positive influence
619562		16167	CFTR_network_edit					REACTANT:1496234,PRODUCT:1496185	e254__e254_r						Positive influence
619563		16167	CFTR_network_edit				PUBMED:9613608,PUBMED:12502786,PUBMED:10852925,PUBMED:9671706,PUBMED:15048129,PUBMED:32014995,PUBMED:27206858,PUBMED:10562288,PUBMED:23148778,PUBMED:9677412	REACTANT:1496215,PRODUCT:1496113	e129__e129_r						Positive influence
619564		16167	CFTR_network_edit					REACTANT:1496063,PRODUCT:1495959	e246__e246_r						Positive influence
619565		16167	CFTR_network_edit				PUBMED:19275885,PUBMED:15371428	REACTANT:1496243,PRODUCT:1496306	e54__e54_r						Positive influence
619566		16167	CFTR_network_edit				PUBMED:10748023,PUBMED:15143197	REACTANT:1496119,PRODUCT:1496183	e182__e182_r						Positive influence
619567		16167	CFTR_network_edit					REACTANT:1496267,PRODUCT:1496072	e121__e121_r						Positive influence
619568		16167	CFTR_network_edit				PUBMED:12671686,PUBMED:26344197	REACTANT:1496129,PRODUCT:1495994	e72__e72_r						Positive influence
619569		16167	CFTR_network_edit				PUBMED:11384996,PUBMED:20130090,PUBMED:23818989	REACTANT:1495974,PRODUCT:1496213	e148__e148_r						Positive influence
619570		16167	CFTR_network_edit				PUBMED:19889841,PUBMED:12773565,PUBMED:23148778	REACTANT:1496115,PRODUCT:1495961	e97__e97_r						Positive influence
619571		16167	CFTR_network_edit				PUBMED:19643730,PUBMED:19289574,PUBMED:21809345	REACTANT:1496158,PRODUCT:1496124	e214__e214_r						Positive influence
619572		16167	CFTR_network_edit				PUBMED:31231217,PUBMED:26618866,PUBMED:30066085,PUBMED:14570915	REACTANT:1496300,PRODUCT:1496153	e175__e175_r						Positive influence
619573		16167	CFTR_network_edit				PUBMED:11865034	REACTANT:1496076,PRODUCT:1496287	e112__e112_r						Negative influence
619574		16167	CFTR_network_edit					REACTANT:1496294,PRODUCT:1496236	e197__e197_r						Positive influence
619575		16167	CFTR_network_edit				PUBMED:30066085,PUBMED:18255040,PUBMED:29924966	REACTANT:1496173,PRODUCT:1496071	e223__e223_r						Positive influence
619576		16167	CFTR_network_edit				PUBMED:9792704,PUBMED:26618866,PUBMED:19019984,PUBMED:18555783,PUBMED:23248597	REACTANT:1496096,PRODUCT:1496123	e231__e231_r						Positive influence
619577		16167	CFTR_network_edit				PUBMED:10567358	REACTANT:1496122,PRODUCT:1495981	e164__e164_r						Positive influence
