Id	Description	Map id	Map name	Symbol	Abbreviation	Synonyms	References	Elements	Reaction external id	Mechanical Confidence Score	Lower Bound	Upper Bound	Gene Protein Reaction	Subsystem	Reaction type
619445		16166	F508del_network_edit				PUBMED:17272822,PUBMED:18285607,PUBMED:7692448,PUBMED:18556464	REACTANT:1495858,PRODUCT:1495879	e95__e95_r						Positive influence
619446		16166	F508del_network_edit				PUBMED:24019521	REACTANT:1495900,PRODUCT:1495815	e105__e105_r						Positive influence
619447		16166	F508del_network_edit				PUBMED:18285607,PUBMED:26618866	REACTANT:1495894,PRODUCT:1495865	e7__e7_r						Positive influence
619448		16166	F508del_network_edit					REACTANT:1495819,PRODUCT:1495883	e58__e58_r						Positive influence
619449		16166	F508del_network_edit				PUBMED:19828134	REACTANT:1495916,PRODUCT:1495855	e14__e14_r						Negative influence
619450		16166	F508del_network_edit				PUBMED:19275885	REACTANT:1495923,PRODUCT:1495939	e57__e57_r						Positive influence
619451		16166	F508del_network_edit				PUBMED:26618866,PUBMED:18556464,PUBMED:17110338,PUBMED:29924966	REACTANT:1495860,PRODUCT:1495865	e6__e6_r						Positive influence
619452		16166	F508del_network_edit				PUBMED:15007060	REACTANT:1495816,PRODUCT:1495948	e45__e45_r						Positive influence
619453		16166	F508del_network_edit				PUBMED:24019521	REACTANT:1495900,PRODUCT:1495877	e106__e106_r						Positive influence
619454		16166	F508del_network_edit				PUBMED:26618866,PUBMED:30066085	REACTANT:1495801,PRODUCT:1495940	e89__e89_r						Positive influence
619455		16166	F508del_network_edit				PUBMED:18555783,PUBMED:16901789	REACTANT:1495939,PRODUCT:1495934	e16__e16_r						Positive influence
619456		16166	F508del_network_edit				PUBMED:10748023,PUBMED:15143197	REACTANT:1495928,PRODUCT:1495857	e72__e72_r						Positive influence
619457		16166	F508del_network_edit				PUBMED:26618866,PUBMED:28794469	REACTANT:1495869,PRODUCT:1495881	e40__e40_r						Positive influence
619458		16166	F508del_network_edit				PUBMED:24019521	REACTANT:1495900,PRODUCT:1495934	e29__e29_r						Positive influence
619459		16166	F508del_network_edit				PUBMED:17158866,PUBMED:20130090	REACTANT:1495925,PRODUCT:1495882	e56__e56_r						Positive influence
619460		16166	F508del_network_edit				PUBMED:19889841,PUBMED:25990958	REACTANT:1495880,PRODUCT:1495859	e103__e103_r						Positive influence
619461		16166	F508del_network_edit					REACTANT:1495940,PRODUCT:1495882	e91__e91_r						Positive influence
619462		16166	F508del_network_edit				PUBMED:17182856	REACTANT:1495938,PRODUCT:1495869	e41__e41_r						Positive influence
619463		16166	F508del_network_edit				PUBMED:31324722	REACTANT:1495850,PRODUCT:1495819	e86__e86_r						Positive influence
619464		16166	F508del_network_edit				PUBMED:16901789	REACTANT:1495939,PRODUCT:1495815	e109__e109_r						Positive influence
619465		16166	F508del_network_edit				PUBMED:12140560,PUBMED:27756846	REACTANT:1495820,PRODUCT:1495934	e39__e39_r						Positive influence
619466		16166	F508del_network_edit				PUBMED:22939629,PUBMED:21148293	REACTANT:1495881,PRODUCT:1495931	e15__e15_r						Positive influence
619467		16166	F508del_network_edit				PUBMED:30066085	REACTANT:1495917,PRODUCT:1495869	e102__e102_r						Positive influence
619468		16166	F508del_network_edit				PUBMED:23178238,PUBMED:28794469	REACTANT:1495906,PRODUCT:1495948	e44__e44_r						Positive influence
619469		16166	F508del_network_edit				PUBMED:20595578,PUBMED:26618866	REACTANT:1495911,PRODUCT:1495818	e63__e63_r						Positive influence
619470		16166	F508del_network_edit				PUBMED:17272822,PUBMED:16621797,PUBMED:18216283	REACTANT:1495936,PRODUCT:1495937	e26__e26_r						Positive influence
619471		16166	F508del_network_edit				PUBMED:22038833,PUBMED:27870250	REACTANT:1495944,PRODUCT:1495865	e10__e10_r						Positive influence
619472		16166	F508del_network_edit					REACTANT:1495934,PRODUCT:1495937	e32__e32_r						Positive influence
619473		16166	F508del_network_edit				PUBMED:15007060	REACTANT:1495901,PRODUCT:1495948	e49__e49_r						Positive influence
619474		16166	F508del_network_edit				PUBMED:15215316	REACTANT:1495950,PRODUCT:1495800	e35__e35_r						Negative influence
619475		16166	F508del_network_edit				PUBMED:26618866,PUBMED:15342786,PUBMED:29924966	REACTANT:1495926,PRODUCT:1495865	e4__e4_r						Positive influence
619476		16166	F508del_network_edit				PUBMED:18285607,PUBMED:29924966	REACTANT:1495904,PRODUCT:1495865	e87__e87_r						Positive influence
619477		16166	F508del_network_edit					REACTANT:1495882,PRODUCT:1495819	e84__e84_r						Positive influence
619478		16166	F508del_network_edit				PUBMED:26618866,PUBMED:29924966	REACTANT:1495895,PRODUCT:1495819	e77__e77_r						Positive influence
619479		16166	F508del_network_edit				PUBMED:18267124	REACTANT:1495833,PRODUCT:1495937	e43__e43_r						Positive influence
619480		16166	F508del_network_edit				PUBMED:23178238,PUBMED:28794469	REACTANT:1495949,PRODUCT:1495865	e8__e8_r						Positive influence
619481		16166	F508del_network_edit				PUBMED:31231217,PUBMED:31014000	REACTANT:1495897,PRODUCT:1495903	e80__e80_r						Positive influence
619482		16166	F508del_network_edit				PUBMED:15007060	REACTANT:1495888,PRODUCT:1495948	e47__e47_r						Positive influence
619483		16166	F508del_network_edit					REACTANT:1495902,PRODUCT:1495853	e52__e52_r						Positive influence
619484		16166	F508del_network_edit				PUBMED:22505710,PUBMED:17110338	REACTANT:1495927,PRODUCT:1495869	e22__e22_r						Positive influence
