Symbol	pathway_name
1272	TSHR	Neuroactive ligand-receptor interaction
1273	GHR	Neuroactive ligand-receptor interaction
1274	LEPR	Neuroactive ligand-receptor interaction
1275	PRLR	Neuroactive ligand-receptor interaction
1276	AGTR1	Neuroactive ligand-receptor interaction
1277	APLNR	Neuroactive ligand-receptor interaction
1278	GRPR	Neuroactive ligand-receptor interaction
1279	BDKRB1	Neuroactive ligand-receptor interaction
1280	C3AR1	Neuroactive ligand-receptor interaction
1281	C5AR1	Neuroactive ligand-receptor interaction
1282	CCKAR	Neuroactive ligand-receptor interaction
1283	EDNRA	Neuroactive ligand-receptor interaction
1284	GALR1	Neuroactive ligand-receptor interaction
1285	GHSR	Neuroactive ligand-receptor interaction
1286	KISS1R	Neuroactive ligand-receptor interaction
1287	MC1R	Neuroactive ligand-receptor interaction
1288	MLNR	Neuroactive ligand-receptor interaction
1289	NPFFR2	Neuroactive ligand-receptor interaction
1290	NPY4R2	Neuroactive ligand-receptor interaction
1291	NPY4R	Neuroactive ligand-receptor interaction
1292	NPBWR1	Neuroactive ligand-receptor interaction
1293	NTSR2	Neuroactive ligand-receptor interaction
1294	OPRD1	Neuroactive ligand-receptor interaction
1295	HCRTR1	Neuroactive ligand-receptor interaction
1296	OXTR	Neuroactive ligand-receptor interaction
1297	SSTR1	Neuroactive ligand-receptor interaction
1298	TACR1	Neuroactive ligand-receptor interaction
1299	SPR	Neuroactive ligand-receptor interaction
1300	TACR2	Neuroactive ligand-receptor interaction
1301	TACR3	Neuroactive ligand-receptor interaction
1302	UTS2R	Neuroactive ligand-receptor interaction
1303	AVPR1A	Neuroactive ligand-receptor interaction
1304	PRLHR	Neuroactive ligand-receptor interaction
1305	MCHR1	Neuroactive ligand-receptor interaction
1306	GNRHR	Neuroactive ligand-receptor interaction
1307	TRHR	Neuroactive ligand-receptor interaction
1308	MAS1	Neuroactive ligand-receptor interaction
1309	RXFP2	Neuroactive ligand-receptor interaction
1310	CALCRL	Neuroactive ligand-receptor interaction
1311	CRHR1	Neuroactive ligand-receptor interaction
1312	GIPR	Neuroactive ligand-receptor interaction
1313	GCGR	Neuroactive ligand-receptor interaction
1314	GLP1R	Neuroactive ligand-receptor interaction
1315	GHRHR	Neuroactive ligand-receptor interaction
1316	PTH1R	Neuroactive ligand-receptor interaction
1317	ADCYAP1R1	Neuroactive ligand-receptor interaction
1318	SCTR	Neuroactive ligand-receptor interaction
1319	VIPR1	Neuroactive ligand-receptor interaction
1320	CHRNA1	Neuroactive ligand-receptor interaction
1321	QRFPR	Neuroactive ligand-receptor interaction
1322	NPSR1	Neuroactive ligand-receptor interaction
1323	CXCL1	Cytokine-cytokine receptor interaction
1324	CXCL6	Cytokine-cytokine receptor interaction
1325	CXCL8	Cytokine-cytokine receptor interaction
1326	PPBP	Cytokine-cytokine receptor interaction
1327	PF4	Cytokine-cytokine receptor interaction
1328	CXCL9	Cytokine-cytokine receptor interaction
1329	CXCL10	Cytokine-cytokine receptor interaction
1330	C7	Cytokine-cytokine receptor interaction
1331	CXCL11	Cytokine-cytokine receptor interaction
1332	CXCL13	Cytokine-cytokine receptor interaction
1333	CXCL12	Cytokine-cytokine receptor interaction
1334	CXCL16	Cytokine-cytokine receptor interaction
1335	XCL1	Cytokine-cytokine receptor interaction
1336	XCL2	Cytokine-cytokine receptor interaction
1337	CX3CL1	Cytokine-cytokine receptor interaction
1338	IL4	Cytokine-cytokine receptor interaction
1339	IL13	Cytokine-cytokine receptor interaction
1340	EPO	Cytokine-cytokine receptor interaction
1341	CSH1	Cytokine-cytokine receptor interaction
1342	PRL	Cytokine-cytokine receptor interaction
1343	THPO	Cytokine-cytokine receptor interaction
1344	TPO	Cytokine-cytokine receptor interaction
1345	CSF3	Cytokine-cytokine receptor interaction
1346	LEP	Cytokine-cytokine receptor interaction
1347	IL1A	Cytokine-cytokine receptor interaction
1348	IL1B	Cytokine-cytokine receptor interaction
1349	IL1RN	Cytokine-cytokine receptor interaction
1350	IL17B	Cytokine-cytokine receptor interaction
1351	IL17C	Cytokine-cytokine receptor interaction
1352	IL16	Cytokine-cytokine receptor interaction
1353	IL34	Cytokine-cytokine receptor interaction
1354	CSF1	Cytokine-cytokine receptor interaction
1355	TNF	Cytokine-cytokine receptor interaction
1356	LTA	Cytokine-cytokine receptor interaction
1357	LTB	Cytokine-cytokine receptor interaction
1358	TNFSF14	Cytokine-cytokine receptor interaction
1359	FASLG	Cytokine-cytokine receptor interaction
1360	TNFSF15	Cytokine-cytokine receptor interaction
1361	TNFSF10	Cytokine-cytokine receptor interaction
1362	EDA	Cytokine-cytokine receptor interaction
1363	NGF	Cytokine-cytokine receptor interaction
1364	TNFSF11	Cytokine-cytokine receptor interaction
1365	TNFSF12	Cytokine-cytokine receptor interaction
1366	CD70	Cytokine-cytokine receptor interaction
1367	TNFSF8	Cytokine-cytokine receptor interaction
1368	CD40LG	Cytokine-cytokine receptor interaction
1369	TNFSF9	Cytokine-cytokine receptor interaction
1370	TNFSF4	Cytokine-cytokine receptor interaction
1371	TNFSF18	Cytokine-cytokine receptor interaction
1372	TNFSF13	Cytokine-cytokine receptor interaction
1373	TNFSF13B	Cytokine-cytokine receptor interaction
1374	DTL	Cytokine-cytokine receptor interaction
1375	GDF15	Cytokine-cytokine receptor interaction
1376	PDF	Cytokine-cytokine receptor interaction
1377	INHA	Cytokine-cytokine receptor interaction
1378	BMP3	Cytokine-cytokine receptor interaction
1379	CCL1	Cytokine-cytokine receptor interaction
1380	CCL25	Cytokine-cytokine receptor interaction
1381	CCL19	Cytokine-cytokine receptor interaction
1382	CCL21	Cytokine-cytokine receptor interaction
1383	CCL3L3	Cytokine-cytokine receptor interaction
1384	CCL4L1	Cytokine-cytokine receptor interaction
1385	CCL17	Cytokine-cytokine receptor interaction
1386	CCL22	Cytokine-cytokine receptor interaction
1387	CCL5	Cytokine-cytokine receptor interaction
1388	CCL8	Cytokine-cytokine receptor interaction
1389	CCL14	Cytokine-cytokine receptor interaction
1390	SCYL2	Cytokine-cytokine receptor interaction
1391	CCL16	Cytokine-cytokine receptor interaction
1392	CCL15	Cytokine-cytokine receptor interaction
1393	SCYL3	Cytokine-cytokine receptor interaction
1394	CCL13	Cytokine-cytokine receptor interaction
1395	SCYL1	Cytokine-cytokine receptor interaction
1396	CCL7	Cytokine-cytokine receptor interaction
1397	CCL2	Cytokine-cytokine receptor interaction
1398	CCL11	Cytokine-cytokine receptor interaction
1399	CCL24	Cytokine-cytokine receptor interaction
1400	CCL26	Cytokine-cytokine receptor interaction
1401	CCL27	Cytokine-cytokine receptor interaction
1402	CCL28	Cytokine-cytokine receptor interaction
1403	CCL20	Cytokine-cytokine receptor interaction
1404	CXCR1	Cytokine-cytokine receptor interaction
1405	CXCR2	Cytokine-cytokine receptor interaction
1406	CXCR3	Cytokine-cytokine receptor interaction
1407	CXCR5	Cytokine-cytokine receptor interaction
1408	CXCR4	Cytokine-cytokine receptor interaction
1409	LAP3	Cytokine-cytokine receptor interaction
1410	ACKR3	Cytokine-cytokine receptor interaction
1411	CXCR6	Cytokine-cytokine receptor interaction
1412	XCR1	Cytokine-cytokine receptor interaction
1413	CX3CR1	Cytokine-cytokine receptor interaction
1414	IL4R	Cytokine-cytokine receptor interaction
1415	IL13RA1	Cytokine-cytokine receptor interaction
1416	IL13RA2	Cytokine-cytokine receptor interaction
1417	EPOR	Cytokine-cytokine receptor interaction
1418	GHR	Cytokine-cytokine receptor interaction
1419	PRLR	Cytokine-cytokine receptor interaction
1420	MPL	Cytokine-cytokine receptor interaction
1421	CSF3R	Cytokine-cytokine receptor interaction
1422	LEPR	Cytokine-cytokine receptor interaction
1423	IL1R2	Cytokine-cytokine receptor interaction
1424	IL17RB	Cytokine-cytokine receptor interaction
1425	IL17RE	Cytokine-cytokine receptor interaction
1426	CD4	Cytokine-cytokine receptor interaction
1427	CSF1R	Cytokine-cytokine receptor interaction
1428	TNFRSF1A	Cytokine-cytokine receptor interaction
1429	TNFRSF1B	Cytokine-cytokine receptor interaction
1430	LTBR	Cytokine-cytokine receptor interaction
1431	TNFRSF14	Cytokine-cytokine receptor interaction
1432	TNFRSF6B	Cytokine-cytokine receptor interaction
1433	FAS	Cytokine-cytokine receptor interaction
1434	TNFRSF25	Cytokine-cytokine receptor interaction
1435	PLEKHG5	Cytokine-cytokine receptor interaction
1436	TNFRSF10B	Cytokine-cytokine receptor interaction
1437	TNFRSF10C	Cytokine-cytokine receptor interaction
1438	TNFRSF10D	Cytokine-cytokine receptor interaction
1439	EDAR	Cytokine-cytokine receptor interaction
1440	EDA2R	Cytokine-cytokine receptor interaction
1441	NGFR	Cytokine-cytokine receptor interaction
1442	TNFRSF11B	Cytokine-cytokine receptor interaction
1443	TNFRSF11A	Cytokine-cytokine receptor interaction
1444	TNFRSF12A	Cytokine-cytokine receptor interaction
1445	CD27	Cytokine-cytokine receptor interaction
1446	TNFRSF8	Cytokine-cytokine receptor interaction
1447	CD40	Cytokine-cytokine receptor interaction
1448	TNFRSF9	Cytokine-cytokine receptor interaction
1449	TNFRSF4	Cytokine-cytokine receptor interaction
1450	TNFRSF18	Cytokine-cytokine receptor interaction
1451	TNFRSF17	Cytokine-cytokine receptor interaction
1452	TNFRSF13B	Cytokine-cytokine receptor interaction
1453	TNFRSF13C	Cytokine-cytokine receptor interaction
1454	TGFBR2	Cytokine-cytokine receptor interaction
1455	ACVR2A	Cytokine-cytokine receptor interaction
1456	ACVR2B	Cytokine-cytokine receptor interaction
1457	CCR8	Cytokine-cytokine receptor interaction
1458	ACKR4	Cytokine-cytokine receptor interaction
1459	CCR10	Cytokine-cytokine receptor interaction
1460	CCR9	Cytokine-cytokine receptor interaction
1461	CCR7	Cytokine-cytokine receptor interaction
1462	CCR5	Cytokine-cytokine receptor interaction
1463	CCR4	Cytokine-cytokine receptor interaction
1464	CCR3	Cytokine-cytokine receptor interaction
1465	CCR1	Cytokine-cytokine receptor interaction
1466	CCR2	Cytokine-cytokine receptor interaction
1467	CCR6	Cytokine-cytokine receptor interaction
1468	CCL3L3	Viral protein interaction with cytokine and cytokine receptor
1469	CCL27	Viral protein interaction with cytokine and cytokine receptor
1470	CCL26	Viral protein interaction with cytokine and cytokine receptor
1471	CCL5	Viral protein interaction with cytokine and cytokine receptor
1472	CCL4L1	Viral protein interaction with cytokine and cytokine receptor
1473	CCL20	Viral protein interaction with cytokine and cytokine receptor
1474	CCL1	Viral protein interaction with cytokine and cytokine receptor
1475	CCL25	Viral protein interaction with cytokine and cytokine receptor
1476	CCL19	Viral protein interaction with cytokine and cytokine receptor
1477	CXCL1	Viral protein interaction with cytokine and cytokine receptor
1478	CXCL13	Viral protein interaction with cytokine and cytokine receptor
1479	CXCL12	Viral protein interaction with cytokine and cytokine receptor
1480	XCL1	Viral protein interaction with cytokine and cytokine receptor
1481	CX3CL1	Viral protein interaction with cytokine and cytokine receptor
1482	IL6	Viral protein interaction with cytokine and cytokine receptor
1483	HGF	Viral protein interaction with cytokine and cytokine receptor
1484	TNF	Viral protein interaction with cytokine and cytokine receptor
1485	LTA	Viral protein interaction with cytokine and cytokine receptor
1486	TNFSF14	Viral protein interaction with cytokine and cytokine receptor
1487	TNFSF10	Viral protein interaction with cytokine and cytokine receptor
1488	IL34	Viral protein interaction with cytokine and cytokine receptor
1489	CSF1	Viral protein interaction with cytokine and cytokine receptor
1490	CCR1	Viral protein interaction with cytokine and cytokine receptor
1491	CCR2	Viral protein interaction with cytokine and cytokine receptor
1492	CCR3	Viral protein interaction with cytokine and cytokine receptor
1493	CCR4	Viral protein interaction with cytokine and cytokine receptor
1494	CCR5	Viral protein interaction with cytokine and cytokine receptor
1495	CCR6	Viral protein interaction with cytokine and cytokine receptor
1496	CCR8	Viral protein interaction with cytokine and cytokine receptor
1497	CCR9	Viral protein interaction with cytokine and cytokine receptor
1498	CCR10	Viral protein interaction with cytokine and cytokine receptor
1499	CCR7	Viral protein interaction with cytokine and cytokine receptor
1500	CXCR1	Viral protein interaction with cytokine and cytokine receptor
1501	CXCR2	Viral protein interaction with cytokine and cytokine receptor
1502	CXCR3	Viral protein interaction with cytokine and cytokine receptor
1503	CXCR5	Viral protein interaction with cytokine and cytokine receptor
1504	ACKR3	Viral protein interaction with cytokine and cytokine receptor
1505	XCR1	Viral protein interaction with cytokine and cytokine receptor
1506	CX3CR1	Viral protein interaction with cytokine and cytokine receptor
1507	IL6R	Viral protein interaction with cytokine and cytokine receptor
1508	TNFRSF1A	Viral protein interaction with cytokine and cytokine receptor
1509	TNFRSF1B	Viral protein interaction with cytokine and cytokine receptor
1510	LTBR	Viral protein interaction with cytokine and cytokine receptor
1511	TNFRSF14	Viral protein interaction with cytokine and cytokine receptor
1512	TNFRSF10B	Viral protein interaction with cytokine and cytokine receptor
1513	TNFRSF10D	Viral protein interaction with cytokine and cytokine receptor
1514	CSF1R	Viral protein interaction with cytokine and cytokine receptor
1515	COL1A1	ECM-receptor interaction
1516	FN1	ECM-receptor interaction
1517	LAMC3	ECM-receptor interaction
1518	COMP	ECM-receptor interaction
1519	TNC	ECM-receptor interaction
1520	CD44	ECM-receptor interaction
1521	SDC1	ECM-receptor interaction
1522	CD36	ECM-receptor interaction
1523	GP6	ECM-receptor interaction
1524	CD47	ECM-receptor interaction
1525	CD58	Cell adhesion molecules
1526	CD80	Cell adhesion molecules
1527	CD86	Cell adhesion molecules
1528	HLA-DMA	Cell adhesion molecules
1529	HLA-A	Cell adhesion molecules
1530	CD274	Cell adhesion molecules
1531	PDCD1LG2	Cell adhesion molecules
1532	CD40LG	Cell adhesion molecules
1533	CD28	Cell adhesion molecules
1534	SELPLG	Cell adhesion molecules
1535	PECAM1	Cell adhesion molecules
1536	PVR	Cell adhesion molecules
1537	NECTIN2	Cell adhesion molecules
1538	CDH2	Cell adhesion molecules
1539	NRXN3	Cell adhesion molecules
1540	CNTN1	Cell adhesion molecules
1541	F3	Cell adhesion molecules
1542	NCAM1	Cell adhesion molecules
1543	L1CAM	Cell adhesion molecules
1544	NECTIN1	Cell adhesion molecules
1545	CDH1	Cell adhesion molecules
1546	CDH4	Cell adhesion molecules
1547	ALCAM	Cell adhesion molecules
1548	PTPRC	Cell adhesion molecules
1549	SPN	Cell adhesion molecules
1550	CD40	Cell adhesion molecules
1551	CLDN24	Cell adhesion molecules
1552	OCLN	Cell adhesion molecules
1553	F11R	Cell adhesion molecules
1554	JAM2	Cell adhesion molecules
1555	JAM3	Cell adhesion molecules
1556	ESAM	Cell adhesion molecules
1557	CDH5	Cell adhesion molecules
1558	CD99	Cell adhesion molecules
1559	SELP	Cell adhesion molecules
1560	SELL	Cell adhesion molecules
1561	CD34	Cell adhesion molecules
1562	SELE	Cell adhesion molecules
1563	NECTIN3	Cell adhesion molecules
1564	PRR3	Cell adhesion molecules
1565	CADM1	Cell adhesion molecules
1566	NEGR1	Cell adhesion molecules
1567	CADM3	Cell adhesion molecules
1568	PTPRM	Cell adhesion molecules
1569	CNTN2	Cell adhesion molecules
1570	MPZ	Cell adhesion molecules
1571	CHM	Cell adhesion molecules
1572	CHN2	Cell adhesion molecules
1573	MAG	Cell adhesion molecules
1574	CDH3	Cell adhesion molecules
1575	CDH15	Cell adhesion molecules
1576	LRRC4C	Cell adhesion molecules
1577	LRRC4	Cell adhesion molecules
1578	LRRC4B	Cell adhesion molecules
1579	VSIR	Cell adhesion molecules
1580	PTPRS	Cell adhesion molecules
1581	PTPRD	Cell adhesion molecules
1582	CD2	Cell adhesion molecules
1583	CTLA4	Cell adhesion molecules
1584	CD4	Cell adhesion molecules
1585	CD8A	Cell adhesion molecules
1586	PDCD1	Cell adhesion molecules
1587	CD226	Cell adhesion molecules
1588	NLGN4Y	Cell adhesion molecules
1589	NRCAM	Cell adhesion molecules
1590	CD6	Cell adhesion molecules
1591	CD22	Cell adhesion molecules
1592	SIGLEC1	Cell adhesion molecules
1593	MADCAM1	Cell adhesion molecules
1594	GLG1	Cell adhesion molecules
1595	TIGIT	Cell adhesion molecules
1596	NTNG1	Cell adhesion molecules
1597	NTNG2	Cell adhesion molecules
1598	PTPRF	Cell adhesion molecules
1599	IGSF11	Cell adhesion molecules
1600	SLITRK1	Cell adhesion molecules
1601	SLITRK3	Cell adhesion molecules
1602	RNF41	Endocytosis
1603	RBSN	Endocytosis
1604	RAB4A	Endocytosis
1605	HRES1	Endocytosis
1606	EHD3	Endocytosis
1607	EHD1	Endocytosis
1608	RAB11FIP2	Endocytosis
1609	MVB12B	Endocytosis
1610	CHMP4B	Endocytosis
1611	CHMP4A	Endocytosis
1612	HGS	Endocytosis
1613	VPS4A	Endocytosis
1614	CHMP5	Endocytosis
1615	CHMP1A	Endocytosis
1616	CHMP7	Endocytosis
1617	TGFBR1	Endocytosis
1618	SRC	Endocytosis
1619	RHOA	Endocytosis
1620	VPS45	Endocytosis
1621	EGFR	Endocytosis
1622	RUFY2	Endocytosis
1623	RAB11A	Endocytosis
1624	PDCD6IP	Endocytosis
1625	STAM2	Endocytosis
1626	VTA1	Endocytosis
1627	DRG1	Endocytosis
1628	CHMP2B	Endocytosis
1629	SMAD2	Endocytosis
1630	CAV1	Endocytosis
1631	IL2RA	Endocytosis
1632	TUBA1B	Phagosome
1633	TUBB3	Phagosome
1634	PEX7	Peroxisome
1635	PEX5L	Peroxisome
1636	PEX6	Peroxisome
1637	PEX1	Peroxisome
1638	PEX13	Peroxisome
1639	PEX14	Peroxisome
1640	PEX26	Peroxisome
1641	IRS1	Autophagy - animal
1642	PDPK1	Autophagy - animal
1643	PDK1	Autophagy - animal
1644	PDPK2P	Autophagy - animal
1645	RRAS2	Autophagy - animal
1646	RAF1	Autophagy - animal
1647	MAP2K1	Autophagy - animal
1648	HIF1A	Autophagy - animal
1649	BNIP3	Autophagy - animal
1650	IGBP1	Autophagy - animal
1651	PPP2CA	Autophagy - animal
1652	RPS6KB1	Autophagy - animal
1653	SUPT20H	Autophagy - animal
1654	ULK1	Autophagy - animal
1655	ATG13	Autophagy - animal
1656	STK11	Autophagy - animal
1657	PRKAA1	Autophagy - animal
1658	PRKCD	Autophagy - animal
1659	CAMKK2	Autophagy - animal
1660	MAP3K7	Autophagy - animal
1661	ERN1	Autophagy - animal
1662	PRAP1	Autophagy - animal
1663	PRKACA	Autophagy - animal
1664	ITPR1	Autophagy - animal
1665	AMBRA1	Autophagy - animal
1666	TRAF6	Autophagy - animal
1667	VMP1	Autophagy - animal
1668	TP53INP2	Autophagy - animal
1669	PIGU	Autophagy - animal
1670	STX17	Autophagy - animal
1671	UVRAG	Autophagy - animal
1672	SH3GLB1	Autophagy - animal
1673	RUBCN	Autophagy - animal
1674	ATG14	Autophagy - animal
1675	BECN2	Autophagy - animal
1676	NRBF2	Autophagy - animal
1677	PIK3R4	Autophagy - animal
1678	DAPK1	Autophagy - animal
1679	EIF2AK3	Autophagy - animal
1680	EIF2AK4	Autophagy - animal
1681	HMGB1	Autophagy - animal
1682	PRKCQ	Autophagy - animal
1683	ATG12	Autophagy - animal
1684	ATG7	Autophagy - animal
1685	ATG10	Autophagy - animal
1686	WIPI2	Autophagy - animal
1687	RB1CC1	Autophagy - animal
1688	RAB33B	Autophagy - animal
1689	SMC2	Autophagy - animal
1690	ATG3	Autophagy - animal
1691	CFLAR	Autophagy - animal
1692	ATG4A	Autophagy - animal
1693	RPTOR	Autophagy - animal
1694	AKT1S1	Autophagy - animal
1695	DEPTOR	Autophagy - animal
1696	MLST8	Autophagy - animal
1697	RAB1A	Autophagy - animal
1698	C9orf72	Autophagy - animal
1699	RAB39B	Autophagy - animal
1700	PIK3CA	Autophagy - animal
1701	AKT3	Autophagy - animal
1702	MAPK1	Autophagy - animal
1703	DDIT4	Autophagy - animal
1704	RHEB	Autophagy - animal
1705	ATG9B	Autophagy - animal
1706	ATG101	Autophagy - animal
1707	MAPK8	Autophagy - animal
1708	PIK3C3	Autophagy - animal
1709	EIF2S1	Autophagy - animal
1710	EIF2A	Autophagy - animal
1711	GABARAP	Autophagy - animal
1712	ATG5	Autophagy - animal
1713	ATG16L1	Autophagy - animal
1714	MTOR	Autophagy - animal
1715	SMCR8	Autophagy - animal
1716	SQSTM1	Autophagy - animal
1717	BCL2L13	Mitophagy - animal
1718	EIF2AK3	Mitophagy - animal
1719	ATF4	Mitophagy - animal
1720	MAPK8	Mitophagy - animal
1721	JUN	Mitophagy - animal
1722	TOMM7	Mitophagy - animal
1723	PINK1	Mitophagy - animal
1724	MFN2	Mitophagy - animal
1725	RPS27A	Mitophagy - animal
1726	UBC	Mitophagy - animal
1727	PRKN	Mitophagy - animal
1728	USP8	Mitophagy - animal
1729	TAX1BP1	Mitophagy - animal
1730	SQSTM1	Mitophagy - animal
1731	CALCOCO2	Mitophagy - animal
1732	OPTN	Mitophagy - animal
1733	NBR1	Mitophagy - animal
1734	TBK1	Mitophagy - animal
1735	BCL2L1	Mitophagy - animal
1736	CSNK2A1	Mitophagy - animal
1737	SRC	Mitophagy - animal
1738	ULK1	Mitophagy - animal
1739	PGAM5	Mitophagy - animal
1740	HIF1A	Mitophagy - animal
1741	RRAS2	Mitophagy - animal
1742	E2F1	Mitophagy - animal
1743	RBP3	Mitophagy - animal
1744	RELA	Mitophagy - animal
1745	TP53	Mitophagy - animal
1746	FOXO3	Mitophagy - animal
1747	CITED2	Mitophagy - animal
1748	SP1	Mitophagy - animal
1749	FUNDC1	Mitophagy - animal
1750	BNIP3	Mitophagy - animal
1751	BNIP3L	Mitophagy - animal
1752	TBC1D15	Mitophagy - animal
1753	FIS1	Mitophagy - animal
1754	GABARAP	Mitophagy - animal
1755	MFN1	Mitophagy - animal
1756	RHOT1	Mitophagy - animal
1757	AMBRA1	Mitophagy - animal
1758	ATG5	Mitophagy - animal
1759	ATG9B	Mitophagy - animal
1760	BECN2	Mitophagy - animal
1761	RAB7B	Mitophagy - animal
1762	GSK3B	Cell cycle
1763	TP53	Cell cycle
1764	GADD45G	Cell cycle
1765	MDM2	Cell cycle
1766	CREBBP	Cell cycle
1767	PRKDC	Cell cycle
1768	CHEK1	Cell cycle
1769	CDC25A	Cell cycle
1770	WEE2	Cell cycle
1771	PKMYT1	Cell cycle
1772	MYT1	Cell cycle
1773	PLK1	Cell cycle
1774	SFN	Cell cycle
1775	CDKN2A	Cell cycle
1776	ATM	Cell cycle
1777	TTK	Cell cycle
1778	MAD1L1	Cell cycle
1779	BUB1	Cell cycle
1780	MYC	Cell cycle
1781	ZBTB17	Cell cycle
1782	TGFB1	Cell cycle
1783	ABL1	Cell cycle
1784	HDAC1	Cell cycle
1785	CCND1	Cell cycle
1786	CDKN1A	Cell cycle
1787	PCNA	Cell cycle
1788	RB1	Cell cycle
1789	CDK4	Cell cycle
1790	CDK2	Cell cycle
1791	CDK1	Cell cycle
1792	CCNB3	Cell cycle
1793	MAD2L2	Cell cycle
1794	BUB3	Cell cycle
1795	CDKN2B	Cell cycle
1796	SMAD2	Cell cycle
1797	TNFSF10	Apoptosis
1798	TNFRSF10B	Apoptosis
1799	FASLG	Apoptosis
1800	FAS	Apoptosis
1801	FADD	Apoptosis
1802	DAXX	Apoptosis
1803	SMIM40	Apoptosis
1804	TNF	Apoptosis
1805	TRAF2	Apoptosis
1806	DAB2IP	Apoptosis
1807	MAP3K5	Apoptosis
1808	EIF2AK3	Apoptosis
1809	EIF2S1	Apoptosis
1810	EIF2A	Apoptosis
1811	CAPN1	Apoptosis
1812	CFLAR	Apoptosis
1813	ATF4	Apoptosis
1814	DDIT3	Apoptosis
1815	CEBPZ	Apoptosis
1816	CTSC	Apoptosis
1817	MCL1	Apoptosis
1818	BCL2L11	Apoptosis
1819	MAPK8	Apoptosis
1820	MAP3K14	Apoptosis
1821	CHUK	Apoptosis
1822	NFKBIA	Apoptosis
1823	NGF	Apoptosis
1824	IL3	Apoptosis
1825	CSF2RB	Apoptosis
1826	HRAS	Apoptosis
1827	PDPK1	Apoptosis
1828	PDK1	Apoptosis
1829	PDPK2P	Apoptosis
1830	RAF1	Apoptosis
1831	MAP2K1	Apoptosis
1832	NTRK1	Apoptosis
1833	AKT3	Apoptosis
1834	NFKB1	Apoptosis
1835	MAPK1	Apoptosis
1836	JUN	Apoptosis
1837	FOS	Apoptosis
1838	PMAIP1	Apoptosis
1839	BBC3	Apoptosis
1840	BCL2L1	Apoptosis
1841	BCL2	Apoptosis
1842	DIABLO	Apoptosis
1843	SEPTIN4	Apoptosis
1844	HTRA2	Apoptosis
1845	BIRC2	Apoptosis
1846	CYCS	Apoptosis
1847	APAF1	Apoptosis
1848	ATM	Apoptosis
1849	TP53	Apoptosis
1850	BAD	Apoptosis
1851	GZMB	Apoptosis
1852	CASP3	Apoptosis
1853	CASP6	Apoptosis
1854	CASP7	Apoptosis
1855	CASP9	Apoptosis
1856	CASP12	Apoptosis
1857	CASP8	Apoptosis
1858	CASP10	Apoptosis
1859	TNFRSF1A	Apoptosis
1860	BID	Apoptosis
1861	PIK3CA	Apoptosis
1862	PTPN13	Apoptosis
1863	GADD45G	Apoptosis
1864	TRAF1	Apoptosis
1865	BCL2A1	Apoptosis
1866	HRK	Apoptosis
1867	BAX	Apoptosis
1868	BAK1	Apoptosis
1869	PIDD1	Apoptosis
1870	TP53AIP1	Apoptosis
1871	TUBA1B	Apoptosis
1872	LMNA	Apoptosis
1873	PARP2	Apoptosis
1874	DFFA	Apoptosis
1875	SPTA1	Apoptosis
1876	ACTB	Apoptosis
1877	TNFRSF1A	Apoptosis - multiple species
1878	FADD	Apoptosis - multiple species
1879	CASP8	Apoptosis - multiple species
1880	CYCS	Apoptosis - multiple species
1881	APAF1	Apoptosis - multiple species
1882	CASP9	Apoptosis - multiple species
1883	BCL2L11	Apoptosis - multiple species
1884	BCL2	Apoptosis - multiple species
1885	DIABLO	Apoptosis - multiple species
1886	HTRA2	Apoptosis - multiple species
1887	SEPTIN4	Apoptosis - multiple species
1888	BIRC2	Apoptosis - multiple species
1889	BIRC7	Apoptosis - multiple species
1890	BCL2L1	Apoptosis - multiple species
1891	NGFR	Apoptosis - multiple species
1892	MAPK8	Apoptosis - multiple species
1893	CASP7	Apoptosis - multiple species
1894	CASP3	Apoptosis - multiple species
1895	BAX	Apoptosis - multiple species
1896	BAK1	Apoptosis - multiple species
1897	TP53	Ferroptosis
1898	SLC3A2	Ferroptosis
1899	TF	Ferroptosis
1900	TFRC	Ferroptosis
1901	NCOA4	Ferroptosis
1902	SLC7A11	Ferroptosis
1903	FTH1	Ferroptosis
1904	TNF	Necroptosis
1905	TNFSF10	Necroptosis
1906	TNFRSF1A	Necroptosis
1907	SPATA2L	Necroptosis
1908	TNFRSF10B	Necroptosis
1909	FASLG	Necroptosis
1910	IFNA1	Necroptosis
1911	IFNA13	Necroptosis
1912	IFNAR1	Necroptosis
1913	AVP	Necroptosis
1914	TLR4	Necroptosis
1915	JAK1	Necroptosis
1916	TICAM2	Necroptosis
1917	TLR3	Necroptosis
1918	EIF2AK2	Necroptosis
1919	EIF2AK1	Necroptosis
1920	SQSTM1	Necroptosis
1921	HSP90AA1	Necroptosis
1922	ZBP1	Necroptosis
1923	TICAM1	Necroptosis
1924	CAPN1	Necroptosis
1925	BID	Necroptosis
1926	BAX	Necroptosis
1927	RIPK3	Necroptosis
1928	MLKL	Necroptosis
1929	CASP1	Necroptosis
1930	TRADD	Necroptosis
1931	RBCK1	Necroptosis
1932	FAF1	Necroptosis
1933	CYBB	Necroptosis
1934	CASP8	Necroptosis
1935	CFLAR	Necroptosis
1936	BCL2	Necroptosis
1937	TNFAIP3	Necroptosis
1938	FADD	Necroptosis
1939	CHMP3	Necroptosis
1940	STAT1	Necroptosis
1941	RIPK1	Necroptosis
1942	MAPK8	Necroptosis
1943	USP21	Necroptosis
1944	USP16	Necroptosis
1945	CYLD	Necroptosis
